totalvehicles,CaseYear,ST_CASE,VEH_NO,NUMOCCS,DEATHS,DR_DRINK,DR_ZIP,SPEEDREL,HIT_RUN,BODY_TYP,BODY_TYPNAME,MAK_MOD,MOD_YEAR,Body,DISTRACT,IMPAIR
2,2019,540002,2,1,1,FALSE,66052,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Jeep / Kaiser-Jeep / Willys- Jeep YJ series/Wrangler,1994,Utility/Minivan,Not Reported,Unknown
1,2019,540003,1,1,1,TRUE,25239,TRUE,FALSE,34,Light Pickup,Ford Ranger,1999,Pickup,Not Reported,Unknown
1,2019,540004,1,1,1,FALSE,26250,TRUE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Chevrolet Equinox,2006,Utility/Minivan,Not Reported,None/Apparently Normal
2,2019,540005,1,1,1,FALSE,25003,FALSE,FALSE,4,"4-door sedan, hardtop",Toyota Avalon,2000,Sedan,Not Reported,None/Apparently Normal
2,2019,540005,2,1,0,FALSE,25524,FALSE,FALSE,4,"4-door sedan, hardtop","Ford Crown Victoria  (For 2011 on, code as vehicle model 398)",1994,Sedan,Not Reported,None/Apparently Normal
2,2019,540006,1,2,1,FALSE,26041,FALSE,FALSE,2,"2-door sedan,hardtop,coupe",KIA Forte,2012,Sedan,Not Reported,None/Apparently Normal
2,2019,540006,2,1,0,FALSE,26041,TRUE,FALSE,4,"4-door sedan, hardtop",Mercury Marquis/Monterey (car version; for van version 2004 on see code 444) /Grand Marquis,1998,Sedan,Not Reported,None/Apparently Normal
2,2019,540007,1,1,0,FALSE,25570,FALSE,FALSE,61,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",Ford Medium/Heavy - CBE,1995,Straight truck,Not Distracted,None/Apparently Normal
2,2019,540007,2,1,1,FALSE,25674,TRUE,FALSE,34,Light Pickup,Dodge Dakota,1998,Pickup,Not Reported,Unknown
1,2019,540008,1,1,1,FALSE,26287,FALSE,FALSE,20,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",Chevrolet Astro Van,1995,Utility/Minivan,Not Reported,Unknown
2,2019,540009,1,1,0,TRUE,26070,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2014,Utility/Minivan,Not Reported,Unknown
2,2019,540009,2,2,1,FALSE,26062,FALSE,FALSE,34,Light Pickup,Ford Ranger,1998,Pickup,Not Distracted,Unknown
1,2019,540010,1,1,1,TRUE,25401,TRUE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Jeep / Kaiser-Jeep / Willys- Jeep Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),1997,Utility/Minivan,Not Reported,None/Apparently Normal
1,2019,540011,1,1,1,FALSE,25204,FALSE,FALSE,21,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",Chevrolet G-series van,1999,Bus/Large van,Not Reported,Unknown
