CaseYear,ST_CASE,crashDate,LONGITUD,LATITUDE,COUNTYNAME,HARM_EVNAME,HARM_EV,DRUNK_DR,WEATHERNAME,EMS_flag,EMS_time,Hosp_flag,Hosp_time,totalvehicles,fatals,persons,peds
2015,540217,2015-11-06T17:10:00Z,-81.80156111,37.35061944,MCDOWELL (47),Rollover/Overturn,1,TRUE,Clear,Yes,17:46,Not Applicable/Notified,NA,1,1,1,0
2015,540218,2015-11-08T03:10:00Z,-80.07018056,39.50444722,MARION (49),Rollover/Overturn,1,TRUE,Clear,Unknown time,NA,Unknown time,NA,1,1,1,0
2015,540219,2015-11-09T16:25:00Z,-82.218225,38.42385278,CABELL (11),Rollover/Overturn,1,FALSE,Cloudy,Yes,16:27,Not Applicable/Notified,NA,1,1,1,0
2015,540220,2015-11-11T07:48:00Z,-80.33216667,38.03321667,GREENBRIER (25),Rollover/Overturn,1,FALSE,Clear,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2015,540221,2015-11-11T14:44:00Z,-77.83971389,39.26889722,JEFFERSON (37),"Other Post, Other Pole or Other Supports",31,FALSE,Clear,Yes,14:48,Unknown time,NA,1,1,1,0
2015,540222,2015-11-13T18:00:00Z,-81.58982778,39.263075,WOOD (107),Pedestrian,8,FALSE,Cloudy,Yes,07:48,Not Applicable/Notified,NA,1,1,1,1
2015,540223,2015-11-16T08:40:00Z,-77.80405,39.26086111,JEFFERSON (37),Tree (Standing Only),42,FALSE,Clear,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2015,540224,2015-11-06T17:43:00Z,-82.28191944,38.568825,CABELL (11),Motor Vehicle In-Transport,12,FALSE,Clear,Yes,18:00,Yes,18:14,3,1,8,0
2015,540225,2015-11-11T08:05:00Z,-82.18183889,37.85943889,MINGO (59),Motor Vehicle In-Transport,12,FALSE,Other,Unknown time,NA,Unknown time,NA,2,1,3,0
2015,540226,2015-11-13T12:05:00Z,-81.65032222,38.66786667,JACKSON (35),Motor Vehicle In-Transport,12,FALSE,Clear,Yes,13:02,Yes,13:37,2,1,3,0
2015,540227,2015-11-18T20:45:00Z,-81.64578056,38.46680833,KANAWHA (39),Motor Vehicle In-Transport,12,FALSE,Rain,Yes,20:52,Yes,21:38,2,1,3,0
2015,540228,2015-11-20T10:00:00Z,-81.6408,38.3588,KANAWHA (39),Curb,33,FALSE,Clear,Unknown time,NA,Unknown time,NA,2,1,3,0
2015,540229,2015-11-24T12:07:00Z,-80.760075,39.58086944,WETZEL (103),Motor Vehicle In-Transport,12,TRUE,Clear,Unknown time,NA,Unknown time,NA,2,1,2,0
2015,540230,2015-11-26T15:00:00Z,-80.37403333,39.26638333,HARRISON (33),Motor Vehicle In-Transport,12,FALSE,Clear,Unknown time,NA,Unknown time,NA,2,1,6,0
2015,540231,2015-11-10T08:53:00Z,-81.42307778,37.94908056,RALEIGH (81),Other Fixed Object,43,FALSE,Clear,Unknown time,NA,Unknown time,NA,1,1,1,0
2015,540232,2015-11-19T01:11:00Z,-81.69287222,38.32812778,KANAWHA (39),Utility Pole/Light Support,30,TRUE,Rain,Unknown time,NA,Unknown time,NA,1,1,1,0
2015,540233,2015-12-03T07:44:00Z,-79.83426667,39.40401389,PRESTON (77),Guardrail Face,24,FALSE,Clear,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2015,540234,2015-11-19T06:40:00Z,-81.08185556,37.69716111,RALEIGH (81),Pedestrian,8,FALSE,Clear,Unknown time,NA,Unknown time,NA,1,1,1,1
2015,540235,2015-11-18T18:12:00Z,-77.97694722,39.45942778,BERKELEY (3),Pedestrian,8,FALSE,Cloudy,Yes,18:17,Yes,18:38,1,1,2,2
2015,540236,2015-12-07T04:40:00Z,-80.27675,39.70178889,MONONGALIA (61),Guardrail Face,24,TRUE,Clear,Yes,05:15,Yes,06:10,1,1,1,0
2015,540237,2015-12-11T14:55:00Z,-81.10378611,37.35646667,MERCER (55),Guardrail Face,24,FALSE,Clear,Unknown time,NA,Unknown time,NA,1,1,1,0
2015,540238,2015-12-13T08:52:00Z,-81.68566389,38.517675,KANAWHA (39),Embankment,35,TRUE,Clear,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2015,540239,2015-12-16T20:23:00Z,-82.19426667,37.70308333,MINGO (59),Culvert,32,FALSE,Clear,Unknown time,NA,Unknown time,NA,1,1,1,0
2015,540240,2015-12-24T12:39:00Z,-79.99546389,38.96108611,BARBOUR (1),Guardrail Face,24,FALSE,Clear,Yes,13:12,Unknown time,NA,1,1,2,0
2015,540241,2015-12-26T21:19:00Z,-79.25076111,38.66826111,PENDLETON (71),Embankment,35,TRUE,Rain,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2015,540242,2015-12-26T16:05:00Z,-79.16765278,39.11672778,GRANT (23),Culvert,32,FALSE,Rain,Yes,16:30,Yes,16:47,1,1,2,0
2015,540243,2015-12-07T19:07:00Z,-82.162325,38.64473889,MASON (53),Motor Vehicle In-Transport,12,FALSE,Rain,Yes,19:13,Yes,19:52,2,1,6,0
2015,540244,2015-12-09T14:41:00Z,-82.44944444,38.32702222,WAYNE (99),Motor Vehicle In-Transport,12,FALSE,Clear,Unknown time,NA,Unknown time,NA,2,2,2,0
